pair_id,resume_text,jd_text,label,match_category,target_role,domain
pair_018,"Developed data science projects using Python, SQL, pandas, scikit-learn, regression, classification, A/B testing, statistics, and Tableau dashboards. Additional experience includes SQL, NumPy, scikit-learn, A/B testing.","Entry-Level Data Scientist role in Analytics requiring scikit-learn, NumPy, statistics, A/B testing, pandas, SQL, data visualization. Preferred qualifications include Power BI, XGBoost, experiment design. Candidate should communicate results clearly, work with Git, and document model behavior.",0.91,strong,Data Scientist,Analytics
pair_019,"Developed data science projects using Python, SQL, pandas, scikit-learn, regression, classification, A/B testing, statistics, and Tableau dashboards. Additional experience includes experiment design, Python, Power BI, A/B testing.","Entry-Level Data Scientist role in Analytics requiring regression, scikit-learn, SQL, pandas, Python, A/B testing. Preferred qualifications include XGBoost, Power BI, experiment design. Candidate should communicate results clearly, work with Git, and document model behavior.",0.89,strong,Data Scientist,Analytics
pair_020,"Retail management resume with scheduling, inventory, team leadership, and customer service experience. Strong communication, teamwork, documentation, and problem-solving skills.","Junior Healthcare AI Engineer role in Healthcare AI requiring RAG, HL7, Python, FastAPI, HIPAA-aware design. Preferred qualifications include LangGraph, medical terminology. Candidate should communicate results clearly, work with Git, and document model behavior.",0.33,weak,Healthcare AI Engineer,Healthcare AI
pair_021,"Implemented computer vision projects using PyTorch, OpenCV, CNNs, ResNet, YOLO, data augmentation, and object detection evaluation. Additional experience includes CNNs, Python, PyTorch, object detection.","Junior Computer Vision Engineer role in Computer Vision requiring NumPy, OpenCV, Python, object detection, CNNs, PyTorch, image classification. Preferred qualifications include data augmentation, ResNet. Candidate should communicate results clearly, work with Git, and document model behavior.",0.9,strong,Computer Vision Engineer,Computer Vision
pair_022,"Completed analytics projects using Python, SQL, regression, Tableau, and basic finance coursework. Some exposure to NLP, financial data, SQL.","Entry-Level Financial Data Scientist role in Finance AI requiring SQL, financial data, scikit-learn, NLP, Python. Preferred qualifications include backtesting, dashboards, news sentiment. Candidate should communicate results clearly, work with Git, and document model behavior.",0.62,medium,Financial Data Scientist,Finance AI
pair_023,"Business student resume with Excel reporting, customer service, sales operations, and basic data entry experience. Strong communication, teamwork, documentation, and problem-solving skills.","Entry-Level Machine Learning Engineer role in General AI requiring TensorFlow, scikit-learn, PyTorch, ML pipelines, FastAPI, Docker. Preferred qualifications include MLflow, SQL. Candidate should communicate results clearly, work with Git, and document model behavior.",0.41,weak,Machine Learning Engineer,General AI
pair_024,"Built ML projects using Python, scikit-learn, PyTorch, FastAPI, Docker, MLflow, and model evaluation for classification and NLP tasks. Additional experience includes Docker, Python, scikit-learn, TensorFlow.","Entry-Level Machine Learning Engineer role in General AI requiring model evaluation, TensorFlow, PyTorch, scikit-learn, Python, Docker, ML pipelines. Preferred qualifications include MLflow, SQL, Airflow. Candidate should communicate results clearly, work with Git, and document model behavior.",0.82,strong,Machine Learning Engineer,General AI
pair_025,"Deployed ML models using FastAPI, Docker, GitHub Actions, AWS ECS, MLflow, CloudWatch monitoring, and reproducible pipelines. Additional experience includes GitHub Actions, ECS, monitoring, Docker.","Entry-Level MLOps Engineer role in MLOps requiring Docker, model deployment, GitHub Actions, FastAPI, monitoring, MLflow, AWS. Preferred qualifications include Airflow, Kubernetes, ECS, SageMaker. Candidate should communicate results clearly, work with Git, and document model behavior.",0.84,strong,MLOps Engineer,MLOps
pair_026,"Built finance analytics projects using Python, SQL, time-series forecasting, financial news NLP, sentiment features, statistics, and scikit-learn. Additional experience includes XGBoost, dashboards, Python, scikit-learn.","Entry-Level Financial Data Scientist role in Finance AI requiring statistics, NLP, scikit-learn, Python, forecasting, time series, financial data. Preferred qualifications include PyTorch, XGBoost, dashboards. Candidate should communicate results clearly, work with Git, and document model behavior.",0.88,strong,Financial Data Scientist,Finance AI
pair_027,"Completed deep learning coursework with CNN image classification using TensorFlow and Python notebooks. Some exposure to NumPy, CNNs, OpenCV.","Junior Computer Vision Engineer role in Computer Vision requiring image classification, NumPy, OpenCV, CNNs, object detection. Preferred qualifications include deployment, data augmentation, ResNet. Candidate should communicate results clearly, work with Git, and document model behavior.",0.77,medium,Computer Vision Engineer,Computer Vision
pair_028,"Built text classification and sentiment analysis projects using Python, NLTK, spaCy, scikit-learn, and basic transformer models. Some exposure to FastAPI, Hugging Face, Python.","Junior NLP Engineer role in LLM/NLP requiring RAG, Python, transformers, FastAPI, NLP, Hugging Face, semantic search. Preferred qualifications include Docker, ChromaDB, sentence-transformers, FAISS. Candidate should communicate results clearly, work with Git, and document model behavior.",0.67,medium,NLP Engineer,LLM/NLP
pair_029,"Built text classification and sentiment analysis projects using Python, NLTK, spaCy, scikit-learn, and basic transformer models. Some exposure to semantic search, NLP, transformers.","Junior NLP Engineer role in LLM/NLP requiring FastAPI, semantic search, Python, NLP, transformers, text classification, RAG. Preferred qualifications include LangChain, Docker. Candidate should communicate results clearly, work with Git, and document model behavior.",0.75,medium,NLP Engineer,LLM/NLP
pair_030,"Used Python, SQL, pandas, and visualization for academic analytics projects with some machine learning exposure. Some exposure to data visualization, statistics, SQL.","Entry-Level Data Scientist role in Analytics requiring A/B testing, data visualization, NumPy, SQL, statistics, Python. Preferred qualifications include experiment design, Power BI. Candidate should communicate results clearly, work with Git, and document model behavior.",0.56,medium,Data Scientist,Analytics
pair_031,"Academic research resume focused on literature review, presentation writing, and laboratory documentation without deployment experience. Strong communication, teamwork, documentation, and problem-solving skills.","Entry-Level MLOps Engineer role in MLOps requiring monitoring, GitHub Actions, AWS, MLflow, model deployment. Preferred qualifications include ECS, Airflow, Terraform, CloudWatch. Candidate should communicate results clearly, work with Git, and document model behavior.",0.39,weak,MLOps Engineer,MLOps
pair_032,"Graphic design resume with Adobe tools, branding projects, social media assets, and client communication. Strong communication, teamwork, documentation, and problem-solving skills.","Entry-Level Financial Data Scientist role in Finance AI requiring time series, financial data, forecasting, statistics, scikit-learn, Python, SQL, NLP. Preferred qualifications include news sentiment, risk modeling, XGBoost, PyTorch. Candidate should communicate results clearly, work with Git, and document model behavior.",0.36,weak,Financial Data Scientist,Finance AI
pair_033,"Deployed ML models using FastAPI, Docker, GitHub Actions, AWS ECS, MLflow, CloudWatch monitoring, and reproducible pipelines. Additional experience includes Docker, GitHub Actions, AWS, monitoring.","Entry-Level MLOps Engineer role in MLOps requiring CI/CD, Docker, monitoring, AWS, FastAPI, MLflow, GitHub Actions. Preferred qualifications include CloudWatch, SageMaker. Candidate should communicate results clearly, work with Git, and document model behavior.",0.9,strong,MLOps Engineer,MLOps
pair_034,"Built finance analytics projects using Python, SQL, time-series forecasting, financial news NLP, sentiment features, statistics, and scikit-learn. Additional experience includes time series, Python, forecasting, financial data.","Entry-Level Financial Data Scientist role in Finance AI requiring statistics, scikit-learn, NLP, Python, forecasting, SQL, financial data, time series. Preferred qualifications include XGBoost, dashboards, news sentiment. Candidate should communicate results clearly, work with Git, and document model behavior.",0.89,strong,Financial Data Scientist,Finance AI
pair_035,"Built finance analytics projects using Python, SQL, time-series forecasting, financial news NLP, sentiment features, statistics, and scikit-learn. Additional experience includes time series, Python, financial data, NLP.","Entry-Level Financial Data Scientist role in Finance AI requiring time series, statistics, forecasting, SQL, Python, NLP, financial data, scikit-learn. Preferred qualifications include XGBoost, news sentiment, dashboards, PyTorch. Candidate should communicate results clearly, work with Git, and document model behavior.",0.85,strong,Financial Data Scientist,Finance AI
pair_036,"Implemented computer vision projects using PyTorch, OpenCV, CNNs, ResNet, YOLO, data augmentation, and object detection evaluation. Additional experience includes image classification, OpenCV, YOLO, TensorFlow.","Junior Computer Vision Engineer role in Computer Vision requiring image classification, model evaluation, CNNs, OpenCV, Python, PyTorch, object detection, NumPy. Preferred qualifications include ResNet, YOLO, TensorFlow. Candidate should communicate results clearly, work with Git, and document model behavior.",0.91,strong,Computer Vision Engineer,Computer Vision
pair_037,"Deployed ML models using FastAPI, Docker, GitHub Actions, AWS ECS, MLflow, CloudWatch monitoring, and reproducible pipelines. Additional experience includes ECS, CloudWatch, MLflow, monitoring.","Entry-Level MLOps Engineer role in MLOps requiring MLflow, monitoring, FastAPI, GitHub Actions, AWS. Preferred qualifications include ECS, CloudWatch. Candidate should communicate results clearly, work with Git, and document model behavior.",0.96,strong,MLOps Engineer,MLOps
pair_038,"Used Python, SQL, pandas, and visualization for academic analytics projects with some machine learning exposure. Some exposure to scikit-learn, A/B testing, statistics.","Entry-Level Data Scientist role in Analytics requiring A/B testing, regression, statistics, SQL, Python, data visualization, scikit-learn. Preferred qualifications include XGBoost, ETL, Tableau, Git. Candidate should communicate results clearly, work with Git, and document model behavior.",0.67,medium,Data Scientist,Analytics
pair_039,"Implemented computer vision projects using PyTorch, OpenCV, CNNs, ResNet, YOLO, data augmentation, and object detection evaluation. Additional experience includes ResNet, NumPy, YOLO, MONAI.","Junior Computer Vision Engineer role in Computer Vision requiring Python, model evaluation, CNNs, object detection, NumPy, PyTorch, OpenCV. Preferred qualifications include MONAI, ResNet, deployment, YOLO. Candidate should communicate results clearly, work with Git, and document model behavior.",0.89,strong,Computer Vision Engineer,Computer Vision
pair_040,"Built healthcare AI prototype using Python, FastAPI, RAG, FHIR concepts, clinical care gap logic, LLM evaluation, and medical terminology. Additional experience includes FHIR, semantic search, HL7, LangGraph.","Junior Healthcare AI Engineer role in Healthcare AI requiring LLMs, HL7, FHIR, evaluation, FastAPI, HIPAA-aware design. Preferred qualifications include EHR integration, semantic search, LangGraph. Candidate should communicate results clearly, work with Git, and document model behavior.",0.93,strong,Healthcare AI Engineer,Healthcare AI
pair_041,"Implemented computer vision projects using PyTorch, OpenCV, CNNs, ResNet, YOLO, data augmentation, and object detection evaluation. Additional experience includes TensorFlow, MONAI, Python, ResNet.","Junior Computer Vision Engineer role in Computer Vision requiring Python, image classification, PyTorch, NumPy, object detection, OpenCV, CNNs. Preferred qualifications include TensorFlow, ResNet, MONAI. Candidate should communicate results clearly, work with Git, and document model behavior.",0.86,strong,Computer Vision Engineer,Computer Vision
pair_042,"Completed analytics projects using Python, SQL, regression, Tableau, and basic finance coursework. Some exposure to NLP, statistics, forecasting.","Entry-Level Financial Data Scientist role in Finance AI requiring financial data, forecasting, NLP, scikit-learn, time series, SQL, statistics. Preferred qualifications include dashboards, XGBoost, risk modeling. Candidate should communicate results clearly, work with Git, and document model behavior.",0.58,medium,Financial Data Scientist,Finance AI
pair_043,"Deployed ML models using FastAPI, Docker, GitHub Actions, AWS ECS, MLflow, CloudWatch monitoring, and reproducible pipelines. Additional experience includes monitoring, FastAPI, CI/CD, SageMaker.","Entry-Level MLOps Engineer role in MLOps requiring MLflow, CI/CD, FastAPI, monitoring, GitHub Actions, model deployment. Preferred qualifications include SageMaker, Airflow. Candidate should communicate results clearly, work with Git, and document model behavior.",0.82,strong,MLOps Engineer,MLOps
pair_044,"Created NLP and LLM applications with Hugging Face transformers, sentence-transformers, embeddings, RAG, ChromaDB, FastAPI, and semantic search. Additional experience includes semantic search, NLP, LangChain, Hugging Face.","Junior NLP Engineer role in LLM/NLP requiring FastAPI, embeddings, semantic search, NLP, Hugging Face. Preferred qualifications include LangChain, prompt engineering. Candidate should communicate results clearly, work with Git, and document model behavior.",0.87,strong,NLP Engineer,LLM/NLP
pair_045,"Built ML projects using Python, scikit-learn, PyTorch, FastAPI, Docker, MLflow, and model evaluation for classification and NLP tasks. Additional experience includes CI/CD, feature engineering, AWS SageMaker, model evaluation.","Entry-Level Machine Learning Engineer role in General AI requiring scikit-learn, FastAPI, TensorFlow, model evaluation, Python, ML pipelines, feature engineering, PyTorch. Preferred qualifications include CI/CD, AWS SageMaker, MLflow, Hugging Face. Candidate should communicate results clearly, work with Git, and document model behavior.",0.93,strong,Machine Learning Engineer,General AI
pair_046,"Completed analytics projects using Python, SQL, regression, Tableau, and basic finance coursework. Some exposure to time series, financial data, NLP.","Entry-Level Financial Data Scientist role in Finance AI requiring NLP, statistics, scikit-learn, forecasting, time series, financial data, Python, SQL. Preferred qualifications include dashboards, news sentiment. Candidate should communicate results clearly, work with Git, and document model behavior.",0.59,medium,Financial Data Scientist,Finance AI
pair_047,"Built text classification and sentiment analysis projects using Python, NLTK, spaCy, scikit-learn, and basic transformer models. Some exposure to text classification, Hugging Face, semantic search.","Junior NLP Engineer role in LLM/NLP requiring Python, RAG, Hugging Face, semantic search, embeddings, text classification. Preferred qualifications include LangChain, FAISS, ChromaDB. Candidate should communicate results clearly, work with Git, and document model behavior.",0.57,medium,NLP Engineer,LLM/NLP
pair_048,"Academic research resume focused on literature review, presentation writing, and laboratory documentation without deployment experience. Strong communication, teamwork, documentation, and problem-solving skills.","Entry-Level MLOps Engineer role in MLOps requiring AWS, Docker, model deployment, monitoring, FastAPI, GitHub Actions. Preferred qualifications include Kubernetes, CloudWatch. Candidate should communicate results clearly, work with Git, and document model behavior.",0.2,weak,MLOps Engineer,MLOps
pair_049,"Completed healthcare analytics coursework using Python, SQL, dashboards, and some clinical data exploration. Some exposure to RAG, HIPAA-aware design, clinical data.","Junior Healthcare AI Engineer role in Healthcare AI requiring HIPAA-aware design, LLMs, FHIR, clinical data, RAG, FastAPI, evaluation. Preferred qualifications include care gaps, semantic search, medical terminology, EHR integration. Candidate should communicate results clearly, work with Git, and document model behavior.",0.72,medium,Healthcare AI Engineer,Healthcare AI
pair_050,"Built healthcare AI prototype using Python, FastAPI, RAG, FHIR concepts, clinical care gap logic, LLM evaluation, and medical terminology. Additional experience includes EHR integration, medical terminology, semantic search, Python.","Junior Healthcare AI Engineer role in Healthcare AI requiring Python, HL7, HIPAA-aware design, evaluation, LLMs, FHIR. Preferred qualifications include medical terminology, semantic search, LangGraph, EHR integration. Candidate should communicate results clearly, work with Git, and document model behavior.",0.89,strong,Healthcare AI Engineer,Healthcare AI
pair_051,"Built finance analytics projects using Python, SQL, time-series forecasting, financial news NLP, sentiment features, statistics, and scikit-learn. Additional experience includes scikit-learn, XGBoost, forecasting, backtesting.","Entry-Level Financial Data Scientist role in Finance AI requiring time series, scikit-learn, forecasting, financial data, statistics. Preferred qualifications include XGBoost, backtesting, PyTorch, news sentiment. Candidate should communicate results clearly, work with Git, and document model behavior.",0.84,strong,Financial Data Scientist,Finance AI
pair_052,"Graphic design resume with Adobe tools, branding projects, social media assets, and client communication. Strong communication, teamwork, documentation, and problem-solving skills.","Entry-Level Financial Data Scientist role in Finance AI requiring scikit-learn, forecasting, Python, SQL, time series. Preferred qualifications include XGBoost, dashboards, PyTorch, backtesting. Candidate should communicate results clearly, work with Git, and document model behavior.",0.23,weak,Financial Data Scientist,Finance AI
pair_053,"Finance operations resume with reconciliations, Excel formulas, client reports, and no NLP or machine learning projects. Strong communication, teamwork, documentation, and problem-solving skills.","Junior NLP Engineer role in LLM/NLP requiring text classification, NLP, Python, semantic search, embeddings, FastAPI, transformers, RAG. Preferred qualifications include prompt engineering, LangChain, sentence-transformers. Candidate should communicate results clearly, work with Git, and document model behavior.",0.18,weak,NLP Engineer,LLM/NLP
pair_054,"Used Python, SQL, pandas, and visualization for academic analytics projects with some machine learning exposure. Some exposure to data visualization, regression, statistics.","Entry-Level Data Scientist role in Analytics requiring pandas, data visualization, statistics, regression, scikit-learn. Preferred qualifications include XGBoost, experiment design, ETL, Power BI. Candidate should communicate results clearly, work with Git, and document model behavior.",0.58,medium,Data Scientist,Analytics
pair_055,"Academic research resume focused on literature review, presentation writing, and laboratory documentation without deployment experience. Strong communication, teamwork, documentation, and problem-solving skills.","Entry-Level MLOps Engineer role in MLOps requiring Docker, model deployment, AWS, MLflow, GitHub Actions, monitoring. Preferred qualifications include Airflow, CloudWatch. Candidate should communicate results clearly, work with Git, and document model behavior.",0.4,weak,MLOps Engineer,MLOps
pair_056,"Human resources resume with recruiting coordination, onboarding documents, scheduling, and employee records. Strong communication, teamwork, documentation, and problem-solving skills.","Entry-Level AI Application Developer role in GenAI Apps requiring evaluation, Git, LLMs, SQL, APIs, RAG, FastAPI, Docker. Preferred qualifications include authentication, LangChain. Candidate should communicate results clearly, work with Git, and document model behavior.",0.32,weak,AI Application Developer,GenAI Apps
pair_057,"Academic research resume focused on literature review, presentation writing, and laboratory documentation without deployment experience. Strong communication, teamwork, documentation, and problem-solving skills.","Entry-Level MLOps Engineer role in MLOps requiring Python, FastAPI, monitoring, MLflow, AWS, model deployment, GitHub Actions, CI/CD. Preferred qualifications include Kubernetes, SageMaker, Airflow. Candidate should communicate results clearly, work with Git, and document model behavior.",0.41,weak,MLOps Engineer,MLOps
pair_058,"Developed GenAI applications with Python, FastAPI, Streamlit, RAG, ChromaDB, Hugging Face models, Docker, APIs, and evaluation. Additional experience includes evaluation, AWS, APIs, Streamlit.","Entry-Level AI Application Developer role in GenAI Apps requiring Python, LLMs, RAG, Docker, FastAPI, evaluation, APIs, Git. Preferred qualifications include AWS, Hugging Face, Streamlit. Candidate should communicate results clearly, work with Git, and document model behavior.",0.91,strong,AI Application Developer,GenAI Apps
pair_059,"Human resources resume with recruiting coordination, onboarding documents, scheduling, and employee records. Strong communication, teamwork, documentation, and problem-solving skills.","Entry-Level AI Application Developer role in GenAI Apps requiring FastAPI, RAG, Docker, SQL, LLMs. Preferred qualifications include authentication, Streamlit. Candidate should communicate results clearly, work with Git, and document model behavior.",0.28,weak,AI Application Developer,GenAI Apps
pair_060,"Used Python, SQL, pandas, and visualization for academic analytics projects with some machine learning exposure. Some exposure to statistics, Python, pandas.","Entry-Level Data Scientist role in Analytics requiring data visualization, pandas, statistics, regression, Python. Preferred qualifications include XGBoost, Tableau. Candidate should communicate results clearly, work with Git, and document model behavior.",0.65,medium,Data Scientist,Analytics
pair_061,"Built Python ML projects and containerized simple APIs with Docker and GitHub version control. Some exposure to model deployment, Python, Docker.","Entry-Level MLOps Engineer role in MLOps requiring GitHub Actions, CI/CD, Python, model deployment, MLflow, Docker. Preferred qualifications include ECS, SageMaker, CloudWatch. Candidate should communicate results clearly, work with Git, and document model behavior.",0.61,medium,MLOps Engineer,MLOps
pair_062,"Business student resume with Excel reporting, customer service, sales operations, and basic data entry experience. Strong communication, teamwork, documentation, and problem-solving skills.","Entry-Level Machine Learning Engineer role in General AI requiring ML pipelines, PyTorch, Python, TensorFlow, Docker, FastAPI, feature engineering, scikit-learn. Preferred qualifications include CI/CD, Airflow, SQL, AWS SageMaker. Candidate should communicate results clearly, work with Git, and document model behavior.",0.45,weak,Machine Learning Engineer,General AI
pair_063,"Developed GenAI applications with Python, FastAPI, Streamlit, RAG, ChromaDB, Hugging Face models, Docker, APIs, and evaluation. Additional experience includes LLMs, Streamlit, RAG, LangChain.","Entry-Level AI Application Developer role in GenAI Apps requiring Docker, APIs, evaluation, LLMs, Python, RAG, FastAPI, Git. Preferred qualifications include authentication, Streamlit, Hugging Face, LangChain. Candidate should communicate results clearly, work with Git, and document model behavior.",0.91,strong,AI Application Developer,GenAI Apps
pair_064,"Completed healthcare analytics coursework using Python, SQL, dashboards, and some clinical data exploration. Some exposure to FastAPI, FHIR, Python.","Junior Healthcare AI Engineer role in Healthcare AI requiring LLMs, Python, RAG, FHIR, HIPAA-aware design, FastAPI. Preferred qualifications include FHIR resources, EHR integration, LangGraph, medical terminology. Candidate should communicate results clearly, work with Git, and document model behavior.",0.6,medium,Healthcare AI Engineer,Healthcare AI
pair_065,"Completed deep learning coursework with CNN image classification using TensorFlow and Python notebooks. Some exposure to PyTorch, Python, model evaluation.","Junior Computer Vision Engineer role in Computer Vision requiring OpenCV, NumPy, CNNs, model evaluation, image classification, Python, PyTorch. Preferred qualifications include ResNet, deployment. Candidate should communicate results clearly, work with Git, and document model behavior.",0.77,medium,Computer Vision Engineer,Computer Vision
pair_066,"Implemented computer vision projects using PyTorch, OpenCV, CNNs, ResNet, YOLO, data augmentation, and object detection evaluation. Additional experience includes Python, YOLO, data augmentation, PyTorch.","Junior Computer Vision Engineer role in Computer Vision requiring Python, OpenCV, image classification, NumPy, CNNs, PyTorch, model evaluation, object detection. Preferred qualifications include data augmentation, YOLO, ResNet, MONAI. Candidate should communicate results clearly, work with Git, and document model behavior.",0.95,strong,Computer Vision Engineer,Computer Vision
pair_067,"Built Python ML projects and containerized simple APIs with Docker and GitHub version control. Some exposure to Python, Docker, FastAPI.","Entry-Level MLOps Engineer role in MLOps requiring model deployment, AWS, Python, Docker, monitoring, CI/CD, FastAPI, GitHub Actions. Preferred qualifications include Kubernetes, SageMaker. Candidate should communicate results clearly, work with Git, and document model behavior.",0.64,medium,MLOps Engineer,MLOps
pair_068,"Completed analytics projects using Python, SQL, regression, Tableau, and basic finance coursework. Some exposure to financial data, forecasting, NLP.","Entry-Level Financial Data Scientist role in Finance AI requiring statistics, financial data, Python, forecasting, NLP, SQL. Preferred qualifications include dashboards, risk modeling. Candidate should communicate results clearly, work with Git, and document model behavior.",0.77,medium,Financial Data Scientist,Finance AI
